A000092,A000167,A000191,A000272,B000137,B000144,B000224,B000301,B000425,B000434,B000446,B000488,B000511,B000533,B000569,B000729,B000888,B000942,B000989,B001160,B001194,C000083,C000091,C000226,C000291,C000372,C000403,C000424,C000486,C000487,C000526,C000531,C000704,C000723,C000817,C000947,C001033,D000024,D000047,D000075,D000151,D000333,D000582,E000007,E000014,E000122,E000130,E000154,E000168,E000197,F000124,F000154,F000322,G000075,G000261,G000306,G000394,G000413,G000442,H000090,H000111,H000331,H000464,H000718,H000735,H000811,J000021,J000254,K000073,K000089,K000286,L000036,L000229,L000290,L000367,L000376,L000545,M000034,M000057,M000130,M000232,M000387,M000437,M000649,M000909,M000919,M001003,M001005,M001023,M001076,N000036,N000041,N000078,N000100,O000067,P000368,P000443,P000562,Q000015,R000047,R000051,R000089,R000181,R000212,R000529,S000015,S000023,S000041,S000149,S000215,S000493,S000507,S000508,S000564,S000570,S000598,S000610,S000685,S000698,S000794,S000805,S000828,S001048,T000012,T000029,T000127,T000163,T000213,T000220,T000347,T000368,V000022,V000054,V000074,V000088,W000014,W000116,W000403,W000404,W000440,W000495,W000529,W000531,W000568,W000637,W000642,W000786,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,1806-01-15,0,,unknown,hr144,,,,unknown
Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,1806-01-15,0,,unknown,hr144,,,,unknown
Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,1806-01-15,0,,unknown,hr144,,,,unknown
Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,1806-01-16,0,,unknown,hr144,,,,unknown
Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,1806-04-16,0,,unknown,hr144,,,,unknown
Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,1806-01-16,0,,unknown,hr144,,,,unknown
Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,1806-01-16,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,,Nay,Yea,,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,1806-01-17,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,1806-02-06,0,,unknown,,,,,unknown
Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,1806-02-06,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,1806-03-21,0,,unknown,,,,,unknown
Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,1806-03-31,0,,unknown,,,,,unknown
Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,1806-03-31,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,1806-03-31,0,,unknown,,,,,unknown
Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,1806-03-31,0,,unknown,,,,,unknown
Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,1806-12-06,0,,unknown,hr145,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Not Voting,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,1806-12-06,0,,unknown,hr145,,,,unknown
Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,1806-12-06,0,,unknown,hr145,,,,unknown
Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Yea,,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,,Not Voting,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,1806-12-15,0,,unknown,hr145,,,,unknown
Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,,Not Voting,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,1806-12-16,0,,unknown,hr102,,,,unknown
Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,1806-12-30,0,,unknown,,,,,unknown
