B000251,B000398,B000503,B000903,B001005,C000044,C000482,C000496,C000499,C000912,C001023,D000022,D000117,E000281,E000283,F000425,G000264,G000509,H000494,H000593,H000883,K000125,K000207,K000217,K000287,L000232,L000338,L000544,M000096,M000492,M000898,M000989,M001050,N000010,N000085,N000108,N000158,P000019,P000069,P000436,P000510,P000519,R000285,R000297,R000344,R000502,S000256,S000334,S000689,S000719,S000992,S001116,T000032,T000284,T000300,T000450,W000067,W000071,W000238,W000376,W000770,date,isAmendment,requires,result,title
Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,,,Nay,Yea,Nay,Nay,Not Voting,,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Not Voting,Nay,Nay,1837-01-30,0,,unknown,
Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,,Not Voting,Nay,,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,,Not Voting,Yea,Yea,,,Nay,Nay,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,1837-01-30,0,,unknown,s144
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Nay,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,1837-01-30,0,,unknown,s20
Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,,Nay,Yea,,Not Voting,Nay,Nay,,,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,1837-01-30,0,,unknown,s20
Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,1837-01-30,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,1837-01-31,0,,unknown,s20
Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,1837-01-31,0,,unknown,s20
Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,,Not Voting,Nay,Nay,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,1837-01-31,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,1837-01-31,0,,unknown,s20
Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,,,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,1837-01-31,0,,unknown,s20
Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,,Yea,Nay,Yea,,,Nay,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,1837-02-01,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,1837-02-01,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Not Voting,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Nay,1837-02-01,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,,Not Voting,Nay,Yea,,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,,Not Voting,Nay,Yea,,,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Nay,1837-02-01,0,,unknown,s20
Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Not Voting,,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Nay,1837-02-01,0,,unknown,s20
Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,,Nay,Nay,,Not Voting,Nay,Yea,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,,Not Voting,Nay,Nay,,,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Nay,Nay,1837-02-01,0,,unknown,s20
Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Yea,,,Nay,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Yea,1837-02-01,0,,unknown,s20
Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,,Nay,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,,Not Voting,Yea,Yea,,,Nay,Yea,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-01,0,,unknown,s20
Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,,Nay,Nay,Nay,Yea,Nay,,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Not Voting,Yea,Nay,1837-02-02,0,,unknown,s20
Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,,Yea,Not Voting,,Not Voting,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Not Voting,Yea,Nay,1837-02-02,0,,unknown,s20
Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,1837-02-03,0,,unknown,s20
Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Nay,Not Voting,Nay,Yea,1837-02-03,0,,unknown,s20
Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Not Voting,Nay,Nay,Yea,Nay,,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,1837-02-03,0,,unknown,s20
Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Not Voting,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,1837-02-03,0,,unknown,
Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Nay,1837-02-03,0,,unknown,s20
Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-03,0,,unknown,s20
Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,1837-02-03,0,,unknown,s20
Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Not Voting,Yea,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,,Not Voting,Yea,Not Voting,Not Voting,,Nay,Nay,Yea,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,1837-02-03,0,,unknown,s20
Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,Yea,1837-02-04,0,,unknown,
Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Nay,Nay,Nay,Yea,1837-02-04,0,,unknown,s20
Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,,Yea,Nay,Not Voting,Yea,Yea,1837-02-06,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,1837-02-06,0,,unknown,
Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,Nay,Nay,1837-02-06,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Not Voting,Nay,Yea,,Yea,Nay,Yea,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,1837-02-07,0,,unknown,
Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-07,0,,unknown,s20
Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Not Voting,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-07,0,,unknown,s20
Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,1837-02-07,0,,unknown,s20
Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,1837-02-07,0,,unknown,s20
Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,Nay,1837-02-07,0,,unknown,s20
Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,1837-02-07,0,,unknown,s20
Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,,Not Voting,Yea,,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Yea,1837-02-08,0,,unknown,
Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,1837-02-09,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,1837-02-09,0,,unknown,s207
Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Nay,Yea,1837-02-09,0,,unknown,s20
Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,1837-02-10,0,,unknown,
