A000030,A000056,A000096,A000273,A000324,A000345,B000026,B000060,B000131,B000224,B000228,B000256,B000368,B000427,B000482,B000484,B000571,B000650,B000733,B000785,B000833,B000883,B000904,B000990,B001132,B001160,C000014,C000033,C000044,C000123,C000176,C000288,C000320,C000366,C000394,C000436,C000438,C000456,C000482,C000499,C000510,C000531,C000664,C000668,C000692,C000728,C000762,C000894,C000902,C000914,C000976,C001023,D000059,D000075,D000271,D000306,E000083,F000124,F000204,F000278,F000284,G000096,G000150,G000231,G000257,G000261,G000306,G000461,G000498,H000018,H000039,H000045,H000127,H000176,H000184,H000279,H000361,H000476,H000494,H000525,H000574,H000761,H000784,H000915,H000935,H000967,I000022,I000038,I000042,J000021,J000107,J000142,J000170,K000126,K000136,K000169,K000197,K000217,L000066,L000126,L000290,L000354,L000460,L000466,L000483,L000512,L000524,L000539,M000030,M000033,M000146,M000215,M000288,M000377,M000496,M000544,M000549,M000699,M000755,M000774,M000786,M000840,M000919,M001023,M001084,N000035,N000036,N000043,N000078,N000164,O000100,P000079,P000250,P000322,P000324,P000362,P000363,P000368,P000386,P000446,P000484,R000047,R000121,R000173,R000204,R000293,R000326,R000431,R000449,R000503,S000082,S000115,S000246,S000295,S000317,S000516,S000609,S000617,S000685,S000794,S000821,S001017,S001036,S001048,T000012,T000029,T000047,T000054,T000084,T000091,T000115,T000169,T000247,T000333,T000398,T000450,V000120,W000078,W000128,W000136,W000141,W000238,W000293,W000329,W000412,W000456,W000460,W000472,W000527,W000565,W000616,W000618,W000725,W000733,W000768,Y000001,Y000009,date,isAmendment,requires,result,title
,Yea,Yea,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Yea,,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,1816-04-26,0,,unknown,
,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,,Not Voting,Yea,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,1816-04-26,0,,unknown,
Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,,Not Voting,,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,1817-01-04,0,,unknown,
Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,,Nay,Nay,Yea,,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,,Yea,Yea,,Yea,Yea,Nay,,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,1817-01-07,0,,unknown,
Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Not Voting,,Yea,Yea,Not Voting,Nay,Nay,,Yea,Nay,Yea,,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,Not Voting,,Yea,Not Voting,Yea,,Nay,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,,Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,1817-01-08,0,,unknown,
Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Nay,,Nay,Yea,Nay,,Not Voting,,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,1817-01-09,0,,unknown,
Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Not Voting,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Yea,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,,Nay,Nay,,Yea,Nay,Yea,,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Nay,,Yea,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,1817-01-11,0,,unknown,
Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,,Not Voting,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,1817-01-17,0,,unknown,
Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,,Nay,Nay,Nay,,Yea,,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Yea,,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,1817-01-18,0,,unknown,
Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,,Nay,Yea,Nay,,Yea,,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Not Voting,Yea,,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,1817-01-18,0,,unknown,
Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,,Not Voting,Nay,,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,1817-01-20,0,,unknown,
Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,,Not Voting,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,,Nay,Nay,Nay,,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,1817-01-21,0,,unknown,
Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Not Voting,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,Yea,Yea,,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,,Yea,Nay,Yea,,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,1817-01-21,0,,unknown,
Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,,Yea,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,Nay,Yea,Nay,,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,1817-01-22,0,,unknown,
Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Yea,,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,1817-01-22,0,,unknown,
Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,,Nay,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,,Nay,Yea,Yea,,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,1817-01-22,0,,unknown,
