A000262,A000295,B000059,B000248,B000473,B000759,B000789,B000835,B000960,C000150,C000299,C000332,C000427,C000524,C000628,C000819,D000099,D000369,D000428,D000457,F000099,F000106,F000248,F000308,G000475,H000034,H000189,H000211,H000242,H000468,H000483,H000567,H000839,H000856,H000988,J000116,J000179,K000103,K000211,L000060,L000061,L000110,M000216,M000416,M000801,M000970,N000050,N000096,P000161,P000411,P000423,P000481,R000198,R000228,S000074,S000216,S000346,S000417,S000809,S001068,T000122,T000231,T000392,T000432,W000005,W000072,W000447,W000476,W000484,W000566,W000585,W000609,W000766,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,,,Not Voting,,,,,Yea,Not Voting,Not Voting,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Yea,,Nay,Nay,,,,Not Voting,Nay,Nay,Nay,Not Voting,,Nay,,Nay,Nay,,Not Voting,,Nay,Yea,Not Voting,,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,,Yea,,,Yea,Nay,Nay,Nay,Nay,,1862-05-16,0,,unknown,s310,,,,unknown
Nay,,,Not Voting,,,,,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Nay,,Yea,Nay,,,,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,,Yea,,Nay,,Not Voting,Nay,Nay,,Nay,,Nay,,,Nay,Nay,Not Voting,Nay,Yea,,1862-05-16,0,,unknown,s310,,,,unknown
Nay,,,Not Voting,,,,,Nay,Nay,Not Voting,,Nay,,Nay,Yea,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,,Nay,,Yea,Nay,,,,Yea,Nay,Not Voting,Yea,Yea,,Yea,,Nay,Yea,,Not Voting,,Not Voting,Yea,Not Voting,,Yea,,Nay,,Not Voting,Yea,Nay,,Yea,,Yea,,,Nay,Nay,Not Voting,Nay,Yea,,1862-05-20,0,,unknown,hr364,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Yea,,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,,Nay,Yea,Nay,Not Voting,,Nay,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Yea,Not Voting,Nay,,Not Voting,,Nay,Not Voting,,Not Voting,,Yea,Yea,Not Voting,,Yea,,Nay,,Not Voting,Yea,Not Voting,,Yea,,Yea,,,Yea,Nay,Yea,Nay,Nay,,1862-05-20,0,,unknown,,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Yea,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Nay,,Yea,Yea,,,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Not Voting,,Not Voting,,Yea,Nay,Not Voting,,Nay,,Nay,,Not Voting,Nay,Nay,,Yea,,Yea,,,Yea,Nay,Nay,Nay,Nay,,1862-05-19,0,,unknown,s310,,,,unknown
Yea,,,Not Voting,,,,,Nay,Yea,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Yea,,Nay,Nay,,,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Not Voting,,,,Nay,Yea,Not Voting,,Yea,,Yea,,Not Voting,Nay,Nay,,Nay,,Nay,,,Nay,Yea,Nay,Nay,Nay,,1862-05-19,0,,unknown,s310,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Yea,,Yea,Nay,,,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,,Not Voting,Not Voting,,,,Nay,Yea,Not Voting,,Yea,,Nay,,Not Voting,Nay,Nay,,Nay,,Nay,,,Nay,Nay,Nay,Nay,Yea,,1862-05-19,0,,unknown,s310,,,,unknown
Nay,,,Not Voting,,,,,Nay,Yea,Nay,,Nay,,Nay,Yea,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Yea,,Nay,Nay,,,,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,,Not Voting,Not Voting,,,,Yea,Yea,Not Voting,,Yea,,Yea,,Not Voting,Nay,Nay,,Nay,,Nay,,,Nay,Yea,Nay,Nay,Yea,,1862-05-19,0,,unknown,s310,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Nay,,Not Voting,,Yea,Nay,,,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Not Voting,,,,Nay,Yea,Not Voting,,Yea,,Nay,,Not Voting,Nay,Nay,,Nay,,Nay,,,Nay,Yea,Yea,Nay,Nay,,1862-05-19,0,,unknown,s310,,,,unknown
Not Voting,,,Not Voting,,,,,Nay,Yea,Yea,,Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,,Nay,,Nay,Nay,,,,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Not Voting,,,,Nay,Yea,Not Voting,,Yea,,Nay,,Not Voting,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Not Voting,Nay,Nay,,1862-05-19,0,,unknown,,,,,unknown
Not Voting,,,Not Voting,,,,,Nay,Not Voting,Yea,,Nay,,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,,Yea,,Nay,Nay,,,,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Not Voting,,,,Not Voting,Yea,Not Voting,,Not Voting,,Nay,,Not Voting,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Yea,Nay,Nay,,1862-05-19,0,,unknown,,,,,unknown
Not Voting,,,Not Voting,,,,,Yea,Not Voting,Yea,,Nay,,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,,Not Voting,Not Voting,,,,Not Voting,Yea,Not Voting,,Not Voting,,Nay,,Not Voting,Yea,Nay,,Yea,,Nay,,,Yea,Nay,Yea,Nay,Yea,,1862-05-19,0,,unknown,,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Yea,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Yea,Yea,Yea,Not Voting,,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,,Yea,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,Not Voting,,Not Voting,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Yea,Yea,Nay,,1862-05-20,0,,unknown,,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Nay,,Nay,,Nay,Yea,Nay,Yea,Nay,,Yea,,Yea,Yea,Nay,Not Voting,,Nay,Yea,,Yea,,Nay,Yea,,,,Yea,Yea,Yea,Not Voting,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,,Yea,,Yea,,Not Voting,Yea,Yea,,Nay,,Nay,,,Not Voting,Yea,Nay,Yea,Yea,,1862-05-21,0,,unknown,hr310,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Yea,,Yea,,Nay,Yea,Nay,Nay,Nay,,Yea,,Nay,Nay,Yea,Not Voting,,Yea,Nay,,Yea,,Nay,Nay,,,,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,,Nay,Not Voting,,,,Not Voting,Yea,Not Voting,,Not Voting,,Nay,,Nay,Nay,Yea,,Nay,,Nay,,,Nay,Yea,Yea,Nay,Yea,,1862-05-21,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Nay,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,,Yea,,Not Voting,Nay,,,,Nay,Yea,Nay,Not Voting,Nay,,Nay,,Yea,Nay,,,,Not Voting,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Yea,,Nay,,Yea,,,Nay,Nay,Nay,Nay,Nay,,1862-05-22,0,,unknown,s298,,,,unknown
Yea,,,Not Voting,,,,,Yea,Yea,Nay,,Yea,,Yea,Nay,Not Voting,Yea,Nay,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Nay,,Yea,,Yea,Nay,,,,Yea,Not Voting,Nay,Not Voting,Nay,,Not Voting,,Yea,Nay,,,,Not Voting,Nay,Not Voting,,Not Voting,,Nay,,Nay,Nay,Yea,,Nay,,Nay,,,Nay,Yea,Nay,Nay,Nay,,1862-05-23,0,,unknown,s208,,,,unknown
Nay,,,Not Voting,,,,,Nay,Not Voting,Yea,,Nay,,Nay,Nay,Nay,Yea,Nay,,Nay,,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,,Not Voting,,Yea,Nay,,,,Yea,Nay,Nay,Not Voting,Yea,,Nay,,Nay,Yea,,,,Not Voting,Yea,Nay,,Yea,,Yea,,Yea,Nay,Nay,,Nay,,Yea,,,Nay,Nay,Nay,Nay,Yea,,1862-05-27,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Not Voting,Nay,,Yea,,Yea,Yea,Nay,Yea,Nay,,Yea,,Not Voting,Yea,Nay,Not Voting,,Nay,Yea,,Not Voting,,Yea,Nay,,,,Not Voting,Nay,Nay,Not Voting,Yea,,Yea,,Yea,Not Voting,,,,Not Voting,Yea,Not Voting,,Not Voting,,Nay,,Nay,Yea,Nay,,Nay,,Nay,,,Not Voting,Nay,Yea,Yea,Yea,,1862-05-27,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Nay,,Nay,,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Not Voting,Nay,Nay,Nay,,Nay,Yea,,Yea,,Nay,Nay,,,,Nay,Nay,Nay,Not Voting,Nay,,Nay,,Nay,Not Voting,,,,Nay,Nay,Not Voting,,Not Voting,,Nay,,Yea,Nay,Nay,,Nay,,Nay,,,Nay,Nay,Nay,Yea,Yea,,1862-05-28,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Not Voting,Nay,Nay,Nay,,Nay,Yea,,Yea,,Yea,Nay,,,,Not Voting,Nay,Yea,Not Voting,Yea,,Nay,,Nay,Not Voting,,,,Nay,Yea,Not Voting,,Yea,,Yea,,Nay,Nay,Yea,,Nay,,Nay,,,Nay,Nay,Nay,Not Voting,Not Voting,,1862-05-24,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Yea,Yea,,Nay,,Not Voting,Nay,Yea,Yea,,Yea,Yea,,Yea,,Nay,Yea,,,,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,,Nay,Not Voting,,,,Nay,Nay,Not Voting,,Nay,,Yea,,Yea,Nay,Yea,,Nay,,Not Voting,,,Nay,Nay,Nay,Yea,Yea,,1862-05-24,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,,Yea,Yea,,Nay,,Yea,Yea,,,,Yea,Nay,Yea,Not Voting,Nay,,Nay,,Yea,Not Voting,,,,Nay,Yea,Not Voting,,Nay,,Yea,,Nay,Nay,Yea,,Nay,,Yea,,,Not Voting,Yea,Not Voting,Nay,Yea,,1862-05-29,0,,unknown,hr312,,,,unknown
Yea,,,Nay,,,,,Yea,Not Voting,Not Voting,,Yea,,Not Voting,Nay,Nay,Nay,Nay,,Yea,,Not Voting,Nay,Yea,Nay,,Yea,Nay,,Yea,,Yea,Yea,,,,Nay,Yea,Nay,Not Voting,Nay,,Nay,,Yea,Not Voting,,,,Nay,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Nay,,Yea,,Yea,,,Not Voting,Nay,Yea,Nay,Not Voting,,1862-05-29,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Not Voting,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,,Not Voting,Yea,,Yea,,Yea,Nay,,,,Yea,Not Voting,Yea,Not Voting,Yea,,Not Voting,,Yea,Nay,,,,Nay,Nay,Not Voting,,Yea,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Nay,Nay,Yea,Yea,Yea,,1862-05-30,0,,unknown,s298,,,,unknown
Nay,,,Nay,,,,,Yea,Not Voting,Not Voting,,Nay,,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,,Nay,,Nay,Nay,,,,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,,Nay,Nay,,,,Nay,Nay,Not Voting,,Nay,,Nay,,Yea,Nay,Nay,,Nay,,Yea,,,Nay,Yea,Yea,Nay,Nay,,1862-05-30,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Nay,Not Voting,Nay,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,,Yea,,Nay,Nay,,,,Not Voting,Yea,Nay,Not Voting,Nay,,Nay,,Nay,Nay,,,,Nay,Nay,Not Voting,,Yea,,Nay,,Yea,Yea,Nay,,Yea,,Yea,,,Not Voting,Yea,Yea,Nay,Yea,,1862-05-30,0,,unknown,,,,,unknown
Yea,,,Not Voting,,,,,Nay,Yea,Yea,,Nay,,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Yea,Nay,Yea,Nay,,Yea,Yea,,Yea,,Yea,Yea,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,,Nay,Nay,,,,Yea,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Nay,,Nay,,Nay,,,Not Voting,Nay,Yea,Yea,Yea,,1862-05-30,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Yea,,Nay,,Not Voting,Not Voting,Not Voting,Yea,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,,Yea,,Yea,Nay,,,,Not Voting,Yea,Nay,Not Voting,Nay,,Nay,,Nay,Not Voting,,,,Yea,Yea,Not Voting,,Not Voting,,Nay,,Yea,Yea,Nay,,Yea,,Yea,,,Not Voting,Nay,Nay,Nay,Yea,,1862-05-30,0,,unknown,,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Yea,Not Voting,,Nay,Nay,,Yea,,Nay,Yea,,,,Not Voting,Not Voting,Yea,Not Voting,Yea,,Nay,,Nay,Yea,,,,Yea,Yea,Yea,,Yea,,Yea,,Yea,Nay,Not Voting,,Yea,,Nay,,,Yea,Yea,Nay,Nay,Nay,,1862-05-31,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Not Voting,Yea,,Yea,,Yea,Nay,Yea,Yea,Nay,,Nay,,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,,Yea,Nay,,,,Yea,Nay,Nay,,Not Voting,,Nay,,Yea,Yea,Not Voting,,Nay,,Yea,,,Yea,Nay,Yea,Yea,Yea,,1862-05-31,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Nay,Nay,Yea,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Not Voting,,Yea,Nay,,,,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Not Voting,,Yea,,Yea,,,Yea,Nay,Yea,Yea,Yea,,1862-05-31,0,,unknown,,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Yea,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Nay,,Yea,Nay,,,,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Not Voting,,Nay,,Nay,,Nay,Yea,Not Voting,,Yea,,Yea,,,Yea,Yea,Yea,Nay,Not Voting,,1862-05-31,0,,unknown,,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,Yea,Yea,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,,Yea,,Yea,Yea,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,,Nay,Nay,,,,Nay,Nay,Not Voting,,Yea,,Nay,,Nay,Yea,Not Voting,,Nay,,Not Voting,,,Not Voting,Yea,Yea,Yea,Not Voting,,1862-05-31,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,,Nay,Not Voting,,,,Not Voting,Nay,Nay,,Nay,,Yea,,Not Voting,Nay,Not Voting,,Nay,,Yea,,,Yea,Yea,Yea,Nay,Not Voting,,1862-06-02,0,,unknown,s281,,,,unknown
Nay,,,Not Voting,,,,,Nay,Nay,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Nay,,Not Voting,Yea,,Yea,,Yea,Yea,,,,Not Voting,Nay,Yea,Not Voting,Not Voting,,Yea,,Yea,Not Voting,,,,Yea,Yea,Nay,,Yea,,Nay,,Nay,Yea,Not Voting,,Yea,,Nay,,,Yea,Nay,Yea,Yea,Nay,,1862-06-02,0,,unknown,hr312,,,,unknown
Not Voting,,,Not Voting,,,,,Nay,Nay,Nay,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Nay,,Yea,Nay,Nay,Yea,,Nay,Yea,,Nay,,Yea,Yea,,,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Yea,,Not Voting,Yea,,,,Yea,Nay,Nay,,Yea,,Nay,,Nay,Yea,Not Voting,,Yea,,Nay,,,Nay,Nay,Yea,Yea,Yea,,1862-06-02,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Nay,Yea,,Yea,,Not Voting,Nay,Yea,Nay,Nay,,Yea,,Nay,Yea,Yea,Not Voting,,Yea,Nay,,Yea,,Yea,Nay,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Yea,Nay,,,,Yea,Nay,Nay,,Nay,,Yea,,Yea,Nay,Not Voting,,Nay,,Nay,,,Nay,Nay,Nay,Yea,Yea,,1862-06-02,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Nay,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,,Yea,,Yea,Nay,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Nay,Yea,,,,Yea,Yea,Not Voting,,Yea,,Nay,,Nay,Nay,Not Voting,,Nay,,Nay,,,Nay,Yea,Yea,Nay,Not Voting,,1862-06-02,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Nay,Nay,Yea,,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Nay,Nay,Nay,Yea,,Nay,Yea,,Nay,,Yea,Nay,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,,Nay,Nay,,,,Nay,Nay,Nay,,Not Voting,,Nay,,Nay,Yea,Not Voting,,Yea,,Yea,,,Not Voting,Nay,Yea,Nay,Not Voting,,1862-06-02,0,,unknown,,,,,unknown
Yea,,,Yea,,,,,Nay,Nay,Yea,,Not Voting,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Yea,Not Voting,Nay,,Nay,,Yea,Not Voting,,,,Yea,Not Voting,Yea,,Yea,,Yea,,Yea,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,1862-06-03,0,,unknown,hr391,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Not Voting,,Yea,,Not Voting,Yea,Yea,Nay,Yea,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Nay,,Yea,,Yea,Nay,,,,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Yea,Yea,,,,Yea,Nay,Nay,,Not Voting,,Nay,,Nay,Yea,Yea,,Nay,,Nay,,,Nay,Yea,Yea,Yea,Nay,,1862-06-03,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Nay,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Nay,,Yea,Yea,Nay,Nay,,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Not Voting,,,,Yea,Yea,Yea,,Not Voting,,Not Voting,,Nay,Yea,Not Voting,,Nay,,Yea,,,Nay,Yea,Yea,Yea,Nay,,1862-06-03,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Nay,,Nay,Yea,,Nay,,Not Voting,Nay,,,,Not Voting,Yea,Nay,Nay,Yea,,Yea,,Nay,Not Voting,,,,Nay,Nay,Nay,,Not Voting,,Not Voting,,Nay,Yea,Not Voting,,Not Voting,,Yea,,,Nay,Nay,Not Voting,Yea,Nay,,1862-06-03,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Yea,Nay,,Nay,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Nay,,Nay,Yea,,Not Voting,,Not Voting,Nay,,,,Not Voting,Yea,Nay,Yea,Yea,,Yea,,Nay,Not Voting,,,,Yea,Nay,Yea,,Not Voting,,Yea,,Nay,Yea,Nay,,Not Voting,,Yea,,,Nay,Yea,Yea,Yea,Nay,,1862-06-03,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Nay,Yea,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,,Yea,,Yea,Nay,,,,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Nay,Not Voting,,,,Yea,Nay,Nay,,Not Voting,,Nay,,Nay,Yea,Nay,,Not Voting,,Yea,,,Yea,Nay,Nay,Yea,Not Voting,,1862-06-03,0,,unknown,,,,,unknown
Yea,,,Not Voting,,,,,Nay,Yea,Nay,,Yea,,Not Voting,Nay,Nay,Yea,Nay,,Yea,,Yea,Nay,Yea,Nay,,Nay,Nay,,Yea,,Nay,Nay,,,,Not Voting,Nay,Nay,Yea,Yea,,Yea,,Yea,Not Voting,,,,Yea,Nay,Nay,,Not Voting,,Nay,,Nay,Yea,Nay,,Nay,,Nay,,,Nay,Yea,Not Voting,Yea,Nay,,1862-06-03,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,Yea,Yea,Nay,Nay,,Nay,,Nay,Nay,Not Voting,Nay,,Nay,Yea,,Nay,,Yea,Nay,,,,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Not Voting,Not Voting,,,,Yea,Nay,Not Voting,,Not Voting,,Nay,,Not Voting,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Yea,,1862-06-03,0,,unknown,,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Nay,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Nay,,Nay,Yea,,Yea,,Nay,Yea,,,,Nay,Nay,Nay,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Yea,Yea,,Not Voting,,Yea,,Yea,Yea,Nay,,Nay,,Nay,,,Nay,Nay,Nay,Yea,Nay,,1862-06-04,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,,Nay,Yea,,,,Yea,Nay,Yea,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Yea,Yea,,Not Voting,,Yea,,Nay,Yea,Nay,,Nay,,Nay,,,Nay,Nay,Nay,Yea,Yea,,1862-06-04,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Nay,Nay,,Yea,,Yea,Yea,Yea,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Nay,,Nay,Nay,,,,Not Voting,Nay,Yea,Yea,Yea,,Yea,,Not Voting,Yea,,,,Yea,Yea,Yea,,Not Voting,,Yea,,Yea,Yea,Yea,,Nay,,Nay,,,Nay,Nay,Nay,Yea,Not Voting,,1862-06-04,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Nay,Nay,,Nay,,Not Voting,Nay,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Yea,,Nay,Yea,,Yea,,Yea,Nay,,,,Not Voting,Yea,Nay,Yea,Yea,,Yea,,Nay,Yea,,,,Nay,Nay,Yea,,Not Voting,,Nay,,Yea,Yea,Nay,,Not Voting,,Nay,,,Yea,Nay,Not Voting,Yea,Yea,,1862-06-04,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Yea,Yea,Nay,,Yea,,Not Voting,Nay,Yea,Yea,Nay,,Nay,,Yea,Yea,Yea,Yea,,Yea,Yea,,Nay,,Yea,Yea,,,,Not Voting,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,,,,Nay,Nay,Nay,,Not Voting,,Nay,,Yea,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Not Voting,Yea,Yea,Yea,,1862-06-04,0,,unknown,hr312,,,,unknown
Yea,,,Not Voting,,,,,Nay,Yea,Nay,,Nay,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Yea,Yea,Nay,Yea,,Nay,Yea,,Nay,,Yea,Nay,,,,Not Voting,Yea,Nay,Yea,Yea,,Yea,,Nay,Yea,,,,Nay,Nay,Yea,,Not Voting,,Nay,,Yea,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Not Voting,Not Voting,Yea,Nay,,1862-06-04,0,,unknown,hr312,,,,unknown
Nay,,,Not Voting,,,,,Yea,Not Voting,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Yea,,Nay,,Nay,Nay,Yea,Nay,,Yea,Yea,,Yea,,Yea,Yea,,,,Not Voting,Nay,Nay,Yea,Yea,,Yea,,Nay,Yea,,,,Yea,Yea,Nay,,Not Voting,,Yea,,Nay,Nay,Nay,,Nay,,Not Voting,,,Not Voting,Nay,Not Voting,Nay,Nay,,1862-06-04,0,,unknown,hr312,,,,unknown
